Geneid	./SRR15174659	./SRR15174661	./SRR15174663	./SRR15174670	./SRR15174671	./SRR15174672
AF52_01953	0	0	0	0	0	0
AF52_01954	0	0	0	0	0	0
AF52_01955	0	0	0	0	0	0
AF52_01956	0	0	0	0	0	0
AF52_01957	0	0	0	0	0	0
AF52_01958	0	0	0	0	0	0
AF52_01959	0	0	0	0	0	0
AF52_01960	0	0	0	0	0	0
AF52_01961	0	0	0	0	0	0
AF52_01962	0	0	0	0	0	0
AF52_01963	1009	448	737	1360	1197	1852
AF52_01964	198	74	155	214	208	298
AF52_01965	1136	817	750	1834	1769	3187
AF52_01966	1400	752	1143	4007	3051	4110
AF52_01967	653	375	672	6198	5229	8293
AF52_01968	253	109	178	1280	1139	1847
AF52_01969	215	128	148	651	563	988
AF52_01970	48	10	72	44	40	101
AF52_01971	1046	479	831	1307	1130	1769
AF52_01972	184	70	140	282	231	386
AF52_01973	123	3	32	170	147	223
AF52_01974	53	11	33	64	77	82
AF52_01975	34	38	12	108	48	79
AF52_01976	1920	1391	1500	1536	1426	2136
AF52_01977	283	340	267	490	262	685
AF52_01978	392	184	289	791	774	1176
AF52_01979	810	391	774	3218	2825	4924
AF52_01980	863	728	1022	4819	4397	6825
AF52_01981	351	372	485	4122	3441	5617
AF52_01982	38	0	19	267	98	213
AF52_01983	849	692	898	18878	16322	25855
AF52_01984	370	128	428	1961	1531	2768
AF52_01985	805	379	716	733	721	1134
AF52_01986	321	189	279	198	264	479
AF52_01987	26	6	30	44	51	59
AF52_01988	8	55	40	466	136	533
AF52_01989	21	0	10	68	92	100
AF52_01990	54	0	7	28	22	36
AF52_01991	62	0	8	36	37	12
AF52_01992	44	70	95	117	182	207
AF52_01993	90	13	138	59	61	137
AF52_01994	219	77	162	282	234	350
AF52_01995	300	198	148	474	361	769
AF52_01996	200	91	293	233	289	195
AF52_01997	0	2	4	12	86	111
AF52_01998	0	2	32	84	36	130
AF52_01999	12	15	39	175	85	196
AF52_02000	7	27	43	105	126	107
AF52_02001	31	25	73	90	73	161
AF52_02002	54	48	57	102	40	55
AF52_02003	1008	502	849	1316	1198	1760
AF52_02004	556	227	309	399	432	488
AF52_02005	103	159	201	150	120	151
AF52_02006	115	40	65	37	76	66
AF52_02007	220	51	128	21	66	66
AF52_02008	275	205	315	71	83	125
AF52_02009	507	194	323	575	495	924
AF52_02010	673	268	381	517	512	640
AF52_02011	1640	1166	1828	5993	3845	8314
AF52_02012	1677	913	1394	19090	16575	27246
AF52_02013	1162	715	837	10959	10566	15527
AF52_02014	3201	1678	2371	8575	8808	13320
AF52_02015	2754	1285	1815	2789	2584	4420
AF52_02016	602	248	439	913	862	1239
AF52_02017	595	262	518	823	540	1106
AF52_02018	1929	915	1830	466	350	353
AF52_02019	4953	2585	4452	2614	2285	3556
AF52_02020	6452	2999	4342	10719	8351	12747
AF52_02021	4162	1805	3109	14929	11259	18244
AF52_02022	3183	1893	3407	19986	15868	26104
AF52_02023	1958	947	1282	4280	4008	5277
AF52_02024	2136	1174	1588	3223	2665	3920
AF52_02025	2232	1690	1949	643	556	702
AF52_02026	2798	1904	1779	1609	1629	2579
AF52_02027	554	478	583	1824	1939	2800
AF52_02028	1484	708	1305	12016	11583	17081
AF52_02029	1266	565	1038	3012	2339	3903
AF52_02030	2184	879	1414	2334	1968	4153
AF52_02031	234	132	396	372	361	300
AF52_02032	8	31	6	1	29	6
AF52_02033	499	396	496	202	205	254
AF52_02034	186	46	232	64	1	56
AF52_02035	231	63	187	64	86	141
AF52_02036	1580	621	1099	382	220	414
AF52_02037	254	185	213	115	140	150
AF52_02038	455	134	440	262	228	481
AF52_02039	426	248	318	210	138	188
AF52_02040	316	199	352	369	131	374
AF52_02041	188	81	50	175	103	259
AF52_02042	196	110	191	142	205	328
AF52_02043	109	52	146	137	110	160
AF52_02044	145	215	223	1729	1383	1676
AF52_02045	28	7	37	139	72	127
AF52_02046	207	24	62	107	105	399
AF52_02047	58	46	36	74	85	30
AF52_02048	159	50	250	157	204	261
AF52_02049	102	47	46	258	206	223
AF52_02050	78	0	14	95	83	98
AF52_02051	7	4	3	72	65	139
AF52_02052	109	26	46	115	176	99
AF52_02053	215	150	126	308	234	299
AF52_02054	264	124	254	387	324	553
AF52_02055	386	112	328	513	478	687
AF52_02056	285	207	273	687	505	648
AF52_02057	121	165	160	523	842	958
AF52_02058	101	65	62	673	392	937
AF52_02059	616	199	415	1049	540	779
AF52_02060	4	17	61	33	74	84
AF52_02061	59	42	79	85	104	75
AF52_02062	93	42	137	183	131	292
AF52_02063	75	88	90	287	188	320
AF52_02064	257	223	291	264	374	346
AF52_02065	128	145	157	117	171	193
AF52_02066	208	103	114	56	121	110
AF52_02067	33	26	30	37	63	103
AF52_02068	38	76	2	22	14	25
AF52_02069	178	2	69	112	204	145
AF52_02070	0	0	1	25	105	205
AF52_02071	443	163	262	599	471	854
