"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AF52_02047",56.4138757285264,0.319916127960202,0.693234383107695,0.461483353618516,0.644451861637405,0.723733897036009
"AF52_00819",981.856044561617,-0.0733481594803574,0.159437313160844,-0.460043875716609,0.645484727681108,0.724722701806267
"AF52_00369",1116.38837460401,0.0815242372089412,0.177469122090631,0.459371389504638,0.645967490119836,0.724922459417164
"AF52_02345",963.833251130579,-0.0775588237878867,0.168781952839159,-0.459520834326384,0.645860194210946,0.724922459417164
"AF52_01126",50.1644778006634,0.286051609488877,0.623043915801446,0.459119497412823,0.646148356087231,0.724954371679847
"AF52_04538",331.361552319712,0.160256664244304,0.349341232982976,0.458739619356966,0.646421159317867,0.725089394744287
"AF52_03242",68.7667245444584,-0.341525240556485,0.744864005941703,-0.458506838607012,0.646588350512524,0.725105917245358
"AF52_02759",985.141606843748,-0.0719537281252526,0.157216237157788,-0.457673643804597,0.647186926069674,0.72556195728155
"AF52_03804",1747.27969427074,-0.062302080346568,0.136174614355635,-0.457516113714554,0.647300122949036,0.72556195728155
"AF52_04235",86.5175682951145,0.277420338295453,0.60811576428507,0.456196590498853,0.648248616961601,0.726453916651597
"AF52_01579",207.415992340118,-0.150167106507682,0.329557565769633,-0.455662749410681,0.648632512666149,0.726712892871662
"AF52_01154",125.530131781059,0.209863102131715,0.460964457138594,0.455269595912939,0.648915296859801,0.72685849078314
"AF52_04629",368.175603128326,0.13576748019114,0.298558682603374,0.454743030774633,0.649294119568667,0.727111568794108
"AF52_00863",548.955721988494,-0.103290629555683,0.227394353587418,-0.454235683191553,0.64965920255514,0.727349144856932
"AF52_03810",729.109326205456,0.12361329773868,0.27249690895433,0.453631926369473,0.65009377044909,0.727664385091991
"AF52_00694",4734.32626068958,-0.0457633460021835,0.101043171057499,-0.452908846023266,0.65061438084083,0.728075763595056
"AF52_00763",83.286533165688,-0.31688490282682,0.702868991377507,-0.450844903835888,0.652101335221581,0.729568089935036
"AF52_00388",73.6697892859925,-0.732674682489118,1.63367334784383,-0.448482974553098,0.653804670760793,0.73130174368258
"AF52_00290",1416.41259876309,-0.0740582004991731,0.165428890231804,-0.447673924399785,0.654388543114465,0.731661358165315
"AF52_04267",33.3901204173236,-0.357426849032357,0.798520881473307,-0.447611148718977,0.654433855684451,0.731661358165315
"AF52_04060",1003.82624634999,-0.0692471981762721,0.154870974366496,-0.447128317359205,0.654782414241357,0.731879004026297
"AF52_00276",162.14157815945,0.173725457511797,0.388822636366056,0.446798723282777,0.655020393203488,0.731972976991492
"AF52_01058",91.3297012034525,0.253745903108823,0.569967853745663,0.445193358610102,0.656180025846873,0.732542342449806
"AF52_02829",411.68785310844,-0.126855898149479,0.284956342820208,-0.445176608086659,0.656192129935768,0.732542342449806
"AF52_02933",8.34905690654895,-0.765767880291271,1.71912901869884,-0.445439447512124,0.656002210051519,0.732542342449806
"AF52_03220",2652.39293633444,0.0545317627968662,0.122535769859203,0.445027299861297,0.656300025479105,0.732542342449806
"AF52_03724",999.460316139228,-0.0721596282794167,0.161900900969314,-0.445702450371745,0.655812194329733,0.732542342449806
"AF52_00554",12.1061572111163,-0.61929709317922,1.39518346825124,-0.443882189885366,0.657127761719687,0.73329414236012
"AF52_00002",155.890780251432,0.154927142708536,0.350413480491763,0.442126662738873,0.658397551378113,0.734538764802793
"AF52_02067",43.7794803707788,-0.299379614028502,0.677838971449375,-0.441667750953239,0.658729649367131,0.7347369166018
"AF52_01160",413.281077497436,0.104082356991983,0.236134617605172,0.440775512068346,0.65937552325292,0.735284874229985
"AF52_02400",1009.24414014472,-0.0673835740020557,0.153343369621579,-0.439429328886832,0.660350479027352,0.736199455755763
"AF52_01062",83.326719499276,-0.31182406327864,0.71091806060133,-0.438621664801825,0.660935696290146,0.736544271966874
"AF52_01914",1064.53746407757,-0.0658434672208691,0.150169596689527,-0.43846070491219,0.661052349400525,0.736544271966874
"AF52_04148",136.118015127889,-0.177426120940127,0.404748562060776,-0.438361337312139,0.661124368592638,0.736544271966874
"AF52_00560",356.419596505354,-0.135551483938738,0.309705248020857,-0.437679002228627,0.661618992979001,0.736922700376611
"AF52_01175",242.053105640338,-0.166945019129269,0.381981448799628,-0.437050070504448,0.662075036145946,0.737257989208644
"AF52_03392",4406.95307376164,0.0432598215627531,0.0991883286226971,0.436138224763412,0.662736445026001,0.73782175387258
"AF52_03981",603.104064407494,0.0977786909066609,0.224311443070199,0.435905942061372,0.662904973747631,0.737836661629706
"AF52_03288",289.535375337702,0.135058057866282,0.310253429929304,0.435315277246272,0.663333597303578,0.738140989418769
"AF52_00465",33.7051663788912,-0.417226976587276,0.964415909691982,-0.432621416127956,0.665289828304763,0.740144660448527
"AF52_01182",587.248224025274,-0.0991805004650923,0.229521470011425,-0.43211861818485,0.665655203628237,0.740377958011201
"AF52_00594",159.986376562448,-0.158011464691084,0.366118204332646,-0.43158592722562,0.66604238834645,0.740462271850331
"AF52_02532",164.094579970534,0.165695236947262,0.383779853080193,0.43174553228212,0.66592637057724,0.740462271850331
"AF52_01251",1146.14793474963,-0.0681566634521601,0.158111387829955,-0.431067391081665,0.666419370191045,0.740708231976773
"AF52_03400",251.041612892282,-0.170762390412028,0.396632594707061,-0.430530401915523,0.666809856423508,0.740969083446309
"AF52_01092",993.848264004844,-0.0706523003521486,0.164281484534778,-0.430068553082692,0.667145774548892,0.741169190318742
"AF52_02915",5930.39677890601,-0.0543195216838307,0.126667432112606,-0.428835737630974,0.66804276914793,0.741819147809375
"AF52_04256",105.337966939373,-0.215946435994633,0.503336219942848,-0.429030193811906,0.667901251596414,0.741819147809375
"AF52_03728",992.414377965301,-0.067407918714007,0.157318690741121,-0.428480038808175,0.668301663279547,0.741870146272514
"AF52_04305",103.84628965455,0.247621699984905,0.578090700947703,0.428344029023408,0.668400667951581,0.741870146272514
"AF52_04097",26.0525160679584,0.526923925665959,1.2313507046628,0.427923518190745,0.668706804003653,0.74203676151222
"AF52_03708",576.603903409031,0.0958055643384333,0.224751785327294,0.426272762189261,0.669909102946286,0.743197502592147
"AF52_03968",186.539969769941,0.200630407807535,0.471221837369853,0.425766362881999,0.670278099685669,0.743433451983452
"AF52_00121",1423.87385551818,-0.0623728205891771,0.146939622421423,-0.424479249104723,0.671216335669651,0.744186469590056
"AF52_01620",52.51513852691,-0.308182639272766,0.726151038998286,-0.424405698982266,0.671269965210542,0.744186469590056
"AF52_01481",1244.64024771383,0.0689173510959973,0.163285064972743,0.422067695581966,0.672975606438551,0.745903515316185
"AF52_01553",463.376305477966,0.0889077890293934,0.210864840442918,0.421634013724831,0.673292175298957,0.746080518574519
"AF52_02330",769.56850752042,0.0748680418179006,0.177663895570381,0.42140268048013,0.673461062167819,0.746093829878907
"AF52_04507",17.02742693254,0.670923811509089,1.5933119824559,0.421087532697105,0.673691165069,0.746174937370322
"AF52_00938",50.3581838930879,-0.28893796412195,0.688389909673041,-0.419730097815037,0.67468263525689,0.747099095059784
"AF52_03712",850.495469385473,-0.0802679837787502,0.191495677017159,-0.419163424621631,0.675096700520374,0.747383591171997
"AF52_02183",1598.68289522129,-0.0585142816847491,0.140355311725475,-0.416901084578823,0.67675076020869,0.749040403898657
"AF52_00170",215.661357695482,-0.153177830933207,0.368452353534469,-0.415733077733962,0.677605333840259,0.749681806810891
"AF52_01120",24.2030502929307,0.391097330010072,0.941353442393126,0.415462792610411,0.677803147453077,0.749681806810891
